Ticker,Old_Type,New_Type,Reason
AAPL,TYPE C,TYPE B,Technical 2026-09-16: trend=Uptrend; location=Near High; fundamental=Strong Up/PARTIAL
AFG,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Mixed / Neutral; location=Near High; fundamental=Insufficient/PENDING
AIG,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Mixed / Neutral; location=Pullback; fundamental=Insufficient/PENDING
ASTS,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Downtrend; location=Deep Pullback; fundamental=Insufficient/PENDING
BIO,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Mixed / Neutral; location=Near High; fundamental=Insufficient/PENDING
BRK-A,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Mixed / Neutral; location=Near High; fundamental=Insufficient/PENDING
BRK-B,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Mixed / Neutral; location=Near High; fundamental=Insufficient/PENDING
BTSG,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Downtrend; location=Deep Pullback; fundamental=Insufficient/PENDING
BTSGU,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Mixed / Neutral; location=Deep Pullback; fundamental=Insufficient/PENDING
CAH,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Mixed / Neutral; location=Pullback; fundamental=Insufficient/PENDING
CET,FUNDAMENTAL PENDING,UNCLASSIFIED,Technical 2026-09-16: trend=Mixed / Neutral; location=Near High; fundamental=Insufficient/INSUFFICIENT
CIB,FUNDAMENTAL PENDING,UNCLASSIFIED,Technical 2026-09-16: trend=Mixed / Neutral; location=Near High; fundamental=Insufficient/INSUFFICIENT
CMCSA,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Mixed / Neutral; location=Deep Pullback; fundamental=Insufficient/PENDING
CME,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Mixed / Neutral; location=Near High; fundamental=Insufficient/PENDING
CMI,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Downtrend; location=Deep Pullback; fundamental=Insufficient/PENDING
COST,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Downtrend; location=Pullback; fundamental=Insufficient/PENDING
CW,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Downtrend; location=Deep Pullback; fundamental=Insufficient/PENDING
DIS,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Mixed / Neutral; location=Near High; fundamental=Insufficient/PENDING
EBAY,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Mixed / Neutral; location=Pullback; fundamental=Insufficient/PENDING
ECL,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Mixed / Neutral; location=Pullback; fundamental=Insufficient/PENDING
EMBJ,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Mixed / Neutral; location=Pullback; fundamental=Insufficient/PENDING
ES,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Downtrend; location=Pullback; fundamental=Insufficient/PENDING
EXR,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Downtrend; location=Deep Pullback; fundamental=Insufficient/PENDING
F,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Downtrend; location=Deep Pullback; fundamental=Insufficient/PENDING
FPS,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-16: trend=Mixed / Neutral; location=Deep Pullback; fundamental=Insufficient/PENDING
