Ticker,Old_Type,New_Type,Reason
AM,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-17: trend=Mixed / Neutral; location=Pullback; fundamental=Stable/MINIMUM_COMPLETE
AMD,TYPE A,TYPE C,Technical 2026-09-17: trend=Mixed / Neutral; location=Near High; fundamental=Strong Up/PARTIAL
APH,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-17: trend=Downtrend; location=Deep Pullback; fundamental=Stable/MINIMUM_COMPLETE
AQNB,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-17: trend=Mixed / Neutral; location=Breakout; fundamental=Stable/MINIMUM_COMPLETE
BBD,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-17: trend=Mixed / Neutral; location=Near High; fundamental=Stable/PARTIAL
BMO,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-17: trend=Mixed / Neutral; location=Pullback; fundamental=Stable/PARTIAL
CAT,NOT_IN_PRIOR_UNIVERSE,TYPE A,Technical 2026-09-17: trend=Mixed / Neutral; location=Deep Pullback; fundamental=Strong Up/PARTIAL
CBRS,NOT_IN_PRIOR_UNIVERSE,TYPE A,Technical 2026-09-17: trend=Mixed / Neutral; location=Deep Pullback; fundamental=Strong Up/PARTIAL
CF,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-17: trend=Uptrend; location=Near High; fundamental=Stable/MINIMUM_COMPLETE
CLX,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-17: trend=Downtrend; location=Deep Pullback; fundamental=Stable/MINIMUM_COMPLETE
DE,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-17: trend=Uptrend; location=Near High; fundamental=Stable/MINIMUM_COMPLETE
ENLT,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-17: trend=Downtrend; location=Deep Pullback; fundamental=Stable/PARTIAL
ERIC,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-17: trend=Uptrend; location=Deep Pullback; fundamental=Stable/PARTIAL
FDXF,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-17: trend=Downtrend; location=Deep Pullback; fundamental=Stable/MINIMUM_COMPLETE
FIG,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-17: trend=Mixed / Neutral; location=Deep Pullback; fundamental=Stable/MINIMUM_COMPLETE
FMX,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-17: trend=Mixed / Neutral; location=Deep Pullback; fundamental=Insufficient/PENDING
