Cohort_Date,Window_Dates,Horizon,Horizon_Date,Composite_Rank,Rolling_Points,Appearances,Average_Rank,Bucket,Ticker,Opportunity_Type,Latest_Opportunity_Score,Entry_Close,Exit_Close,Return_Pct,Status
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,5,,1,90,5,3.0,HIGH_5,AMD,TYPE B,68.98,623.77002,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,10,,1,90,5,3.0,HIGH_5,AMD,TYPE B,68.98,623.77002,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,20,,1,90,5,3.0,HIGH_5,AMD,TYPE B,68.98,623.77002,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,5,,2,75,5,6.0,HIGH_5,AAPL,TYPE B,68.09,339.75,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,10,,2,75,5,6.0,HIGH_5,AAPL,TYPE B,68.09,339.75,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,20,,2,75,5,6.0,HIGH_5,AAPL,TYPE B,68.09,339.75,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,5,,3,62,5,8.6,HIGH_5,SNDK,TYPE A,67.35,1887.040039,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,10,,3,62,5,8.6,HIGH_5,SNDK,TYPE A,67.35,1887.040039,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,20,,3,62,5,8.6,HIGH_5,SNDK,TYPE A,67.35,1887.040039,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,5,,4,58,5,9.4,HIGH_5,ANET,TYPE B,67.16,,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,10,,4,58,5,9.4,HIGH_5,ANET,TYPE B,67.16,,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,20,,4,58,5,9.4,HIGH_5,ANET,TYPE B,67.16,,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,5,,5,57,4,6.75,HIGH_5,SMCI,TYPE B,67.04,41.540001,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,10,,5,57,4,6.75,HIGH_5,SMCI,TYPE B,67.04,41.540001,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,20,,5,57,4,6.75,HIGH_5,SMCI,TYPE B,67.04,41.540001,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,5,,6,53,5,10.4,MIDDLE_10,PLTR,TYPE B,67.9,184.990005,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,10,,6,53,5,10.4,MIDDLE_10,PLTR,TYPE B,67.9,184.990005,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,20,,6,53,5,10.4,MIDDLE_10,PLTR,TYPE B,67.9,184.990005,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,5,,7,50,5,11.0,MIDDLE_10,NBIS,TYPE A,65.18,236.119995,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,10,,7,50,5,11.0,MIDDLE_10,NBIS,TYPE A,65.18,236.119995,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,20,,7,50,5,11.0,MIDDLE_10,NBIS,TYPE A,65.18,236.119995,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,5,,8,50,4,8.5,MIDDLE_10,QCOM,TYPE B,68.19,198.270004,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,10,,8,50,4,8.5,MIDDLE_10,QCOM,TYPE B,68.19,198.270004,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,20,,8,50,4,8.5,MIDDLE_10,QCOM,TYPE B,68.19,198.270004,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,5,,9,47,4,9.25,MIDDLE_10,ARM,TYPE A,65.39,333.200012,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,10,,9,47,4,9.25,MIDDLE_10,ARM,TYPE A,65.39,333.200012,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,20,,9,47,4,9.25,MIDDLE_10,ARM,TYPE A,65.39,333.200012,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,5,,10,42,4,10.5,MIDDLE_10,LRCX,TYPE A,66.37,310.959991,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,10,,10,42,4,10.5,MIDDLE_10,LRCX,TYPE A,66.37,310.959991,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,20,,10,42,4,10.5,MIDDLE_10,LRCX,TYPE A,66.37,310.959991,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,5,,11,37,3,8.6667,MIDDLE_10,WDC,TYPE A,67.49,464.600006,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,10,,11,37,3,8.6667,MIDDLE_10,WDC,TYPE A,67.49,464.600006,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,20,,11,37,3,8.6667,MIDDLE_10,WDC,TYPE A,67.49,464.600006,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,5,,12,34,4,12.5,MIDDLE_10,AMAT,TYPE A,65.92,472.459991,,,PENDING
2026-09-22,2026-09-16|2026-09-17|2026-09-18|2026-09-21|2026-09-22,10,,12,34,4,12.5,MIDDLE_10,AMAT,TYPE A,65.92,472.459991,,,PENDING
