side,config,rank,action,ticker,name,exchange,date,price,longScore,topRiskScore,topRiskConfirmed,rsi14,distanceTo60dHighPct,distanceToMA20Pct,return5Pct,return20Pct,return_5d,long_2x_5d,inverse_2x_5d,return_10d,long_2x_10d,inverse_2x_10d,return_20d,long_2x_20d,inverse_2x_20d
LONG,balanced,1,2x做多 / Call候选信号,AGIG,Abundia Global Impact Group Inc. Common stock,NYSE American,2026-09-25,1.34,100.0,84.77,True,71.43,-3.08,14.38,8.9431,38.1443,,,,,,,,,
LONG,balanced,2,2x做多 / Call候选信号,AIFF,"Firefly Neuroscience, Inc.  - Common Stock",Nasdaq,2026-09-25,2.01,100.0,89.0,True,78.21,-39.58,73.35,59.5238,86.1111,,,,,,,,,
LONG,balanced,3,2x做多 / Call候选信号,AIXC,"AIxCrypto Holdings, Inc. - Common Stock",Nasdaq,2026-09-25,1.73,100.0,54.0,False,75.54,44.9,71.11,58.7156,105.2195,,,,,,,,,
LONG,balanced,4,2x做多 / Call候选信号,ARHS,"Arhaus, Inc. - Class A Common Stock",Nasdaq,2026-09-25,9.71,100.0,54.41,False,59.92,5.64,15.08,24.647,10.2157,,,,,,,,,
LONG,balanced,5,2x做多 / Call候选信号,BNKK,"Bonk, Inc. - Common Stock",Nasdaq,2026-09-25,1.53,100.0,70.16,True,58.33,0.97,12.13,13.3333,15.9091,,,,,,,,,
LONG,balanced,6,2x做多 / Call候选信号,BTBD,"BT Brands, Inc. - Common Stock",Nasdaq,2026-09-25,1.94,100.0,79.45,True,59.58,-3.74,12.23,7.7778,36.716,,,,,,,,,
LONG,balanced,7,2x做多 / Call候选信号,CDNA,"CareDx, Inc. - Common Stock",Nasdaq,2026-09-25,63.68,100.0,89.0,True,82.36,-0.94,20.53,18.2983,21.6196,,,,,,,,,
LONG,balanced,8,2x做多 / Call候选信号,CNET,ZW Data Action Technologies Inc. - Common Stock,Nasdaq,2026-09-25,1.85,100.0,90.18,True,76.85,0.54,39.31,33.0935,27.5862,,,,,,,,,
LONG,balanced,9,2x做多 / Call候选信号,CYPH,Cypherpunk Technologies Inc. - Common Stock,Nasdaq,2026-09-25,4.12,100.0,85.46,True,71.68,0.48,52.56,14.4444,117.9894,,,,,,,,,
LONG,balanced,10,2x做多 / Call候选信号,EEIQ,EpicQuest Education Group International Limited - Common Stock,Nasdaq,2026-09-25,4.82,100.0,89.0,True,90.09,-13.41,38.85,28.5333,81.8868,,,,,,,,,
LONG,balanced,11,2x做多 / Call候选信号,GOTU,Gaotu Techedu Inc. American Depositary Shares,NYSE,2026-09-25,2.46,100.0,91.41,True,72.41,-0.82,13.7,13.8889,35.1648,,,,,,,,,
LONG,balanced,12,2x做多 / Call候选信号,HQI,"HireQuest, Inc. - Common Stock",Nasdaq,2026-09-25,20.04,100.0,89.0,True,85.71,-5.42,18.85,15.7044,25.0156,,,,,,,,,
LONG,balanced,13,2x做多 / Call候选信号,IBEX,IBEX Limited - Common Share,Nasdaq,2026-09-25,44.53,100.0,79.05,True,71.65,-2.7,11.52,10.7711,19.5436,,,,,,,,,
LONG,balanced,14,2x做多 / Call候选信号,KBSX,FST Corp. - Ordinary Shares,Nasdaq,2026-09-25,1.68,100.0,89.0,True,86.73,-12.0,51.36,54.1284,66.3366,,,,,,,,,
LONG,balanced,15,2x做多 / Call候选信号,NTRA,"Natera, Inc. - Common Stock",Nasdaq,2026-09-25,412.56,100.0,87.54,True,87.7,0.09,17.76,11.6868,21.8069,,,,,,,,,
LONG,balanced,16,2x做多 / Call候选信号,PRLB,"Proto Labs, Inc. Common stock",NYSE,2026-09-25,96.25,100.0,85.0,True,77.93,-0.27,15.15,9.6866,20.1623,,,,,,,,,
