ticker,symbol,name,exchange,price,volume,ma5,ma10,dev5,dev10,gain3,gain5,dayLow,dayHigh,dayOpen,base_date,year_prev_high,three_year_prev_high,history_prev_high,year_high,three_year_high,year_high_breakout,three_year_high_breakout,all_time_high_breakout,year_high_distance,three_year_high_distance,new_year_high,new_3y_high,new_all_time_high,near_year_high_10pct,near_3y_high_10pct,ma20,ma50,ma120,ma200,ma250,rsi14,macd,macd_signal,macd_histogram,atr14,atr14_pct,distance_ma5,ma5_slope,distance_ma10,ma10_slope,distance_ma20,ma20_slope,distance_ma50,ma50_slope,distance_ma120,ma120_slope,distance_ma200,ma200_slope,avg_volume_5d,avg_volume_20d,avg_volume_60d,volume_ratio_20d,volume_ratio_60d,high_20d,low_20d,drawdown_20d_high,distance_to_20d_high,high_60d,low_60d,drawdown_60d_high,distance_to_60d_high,high_120d,low_120d,drawdown_120d_high,distance_to_120d_high,high_250d,low_250d,drawdown_250d_high,distance_to_250d_high,pct_from_52w_high,pct_from_52w_low,return_1d,return_5d,return_10d,return_20d,return_60d,return_120d,return_250d,open,high,low,close,previous_day_high,previous_day_low,daily_return,close_above_previous_high,close_below_previous_low,no_new_low_3d,no_new_low_5d,higher_low,higher_high,reclaim_ma5,reclaim_ma10,reclaim_ma20,lower_shadow_ratio,upper_shadow_ratio,intraday_recovery,gap_down,gap_down_recovery,up_day_volume_expansion,down_day_volume_contraction,reversal_score,reversal_signal,reversal_stage,trend_state_raw,trend_state,trend_state_previous,trend_state_changed,trend_state_change_reason,trend_state_shock,location_state,technical_regime,setup_types,bottoming_eligible,bottoming_score,trend_recovery_score,trend_strength_score,near_high_score,breakout_score,relative_strength_score,technical_deterioration_score,technical_score,previous_state_available,previous_state_date,trend_state_initialized,trend_state_reinitialized,previous_state_file_status,sector,sector_benchmark,rs_5d_vs_spy,rs_5d_vs_qqq,rs_5d_vs_sector,rs_10d_vs_spy,rs_10d_vs_qqq,rs_10d_vs_sector,rs_20d_vs_spy,rs_20d_vs_qqq,rs_20d_vs_sector,rs_60d_vs_spy,rs_60d_vs_qqq,rs_60d_vs_sector,rs_improving_5d,rs_improving_10d,residual_5d,residual_10d,residual_20d,residual_60d,data_coverage_score,setup_type,index_data_status,sp500_member,sp400_member,sp600_member,russell1000_member,russell2000_member,russell3000_member,nasdaq100_member,sp500_eligibility,ndx_eligibility,estimated_passive_buy_usd,passive_buy_to_adv,index_catalyst_score,consecutive_3d_gain,consecutive_5d_gain,break_pullback_ma5,break_ma5_pullback_ma10,technical_percentile,bottoming_percentile,reversal_percentile,trend_recovery_percentile,trend_strength_percentile,near_high_percentile,breakout_percentile,relative_strength_percentile,marketCap,marketCapSource,marketCapRetrievedAt,Ticker,Market_Cap,Universe_AsOf_Date,Technical_AsOf_Date,MarketCap_Source,MarketCap_AsOf_Date,Company,Latest_Earnings_Date,Fundamental_Revision_State,Fundamental_Score,Guide_Direction,EPS_Revision,Revenue_Revision,Orders_Trend,Backlog_Trend,RPO_Trend,Core_KPI_Trend,Gross_Margin_Trend,Operating_Margin_Trend,FCF_Trend,Demand_Commentary,Customer_Commentary,Thesis_Breaker,Fundamental_Data_Status,Fundamental_Data_Coverage,Source,AsOf_Date,Fundamental_AsOf_Date,Catalyst_AsOf_Date,Technical_Percentile,RS_Percentile,Technical_Score,Catalyst_Score,Catalyst_Tags,Opportunity_Score,Type_A_Score,Type_B_Score,Type_C_Score,Type_D_Score,Opportunity_Type,Primary_Opportunity_Type,Core_Opportunity,Why_Now,Main_Risk,Next_Trigger,Invalidation
AMD,AMD,"Advanced Micro Devices, Inc. - Common Stock",Nasdaq,629.26,25202032,608.596006,561.431008,3.4,12.08,2.23,15.44,599.35,630.79,605.345,2026-09-24,624.69,624.69,624.69,630.79,630.79,0.98,0.98,0.98,0.24,0.24,True,True,True,True,True,520.406002,502.119203,462.151334,362.70595,335.06928,81.836238,33.782876,18.731468,15.051409,26.860702,4.268617,3.395355,0.183426,12.081447,0.171158,20.91713,0.077441,25.320839,0.01832,36.158863,1.097155,73.490399,1.369005,29236926.4,21561941.6,24377487.2,1.16882,1.033824,630.79,440.5,-0.242553,0.242553,630.79,424.029999,-0.242553,0.242553,630.79,215.380005,-0.242553,0.242553,630.79,157.050003,-0.242553,0.242553,-0.242553,306.551237,0.023836,0.154415,0.249523,0.308423,0.083232,1.893149,2.901904,605.344970703125,630.79,599.35,629.26,624.6900024414062,608.0800170898438,0.023836,True,False,False,True,False,True,False,False,False,0.19068,0.048664,False,False,False,False,False,16.67,False,,Uptrend,Uptrend,,False,raw state accepted,False,Breakout,R7 Breakout / New High,"['Breakout', 'New High']",False,0.0,16.67,71.43,98.06,60.0,,0.0,58.43,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,"Breakout, New High",Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,98.934,,67.954,66.4578,97.5687,98.6347,98.6628,,10033.35485564,Nasdaq screener API,2026-09-25T08:34:29.191413+08:00,AMD,1003335485564.0,2026-09-24,2026-09-24,Nasdaq screener API,2026-09-25T08:34:29.191413+08:00,"AMD | Advanced Micro Devices, Inc. FY2026 Q2 财报复盘",2026-08-05,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\amd-review-2026-08-05.json,2026-08-05,2026-08-05,,98.934,0.0,59.36,0.0,,68.74,57.49,60.44,79.69,70.28,TYPE B,TYPE B,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
NBIS,NBIS,Nebius Group N.V. - Class A Ordinary Shares,Nasdaq,243.48,24256977,232.509998,223.401999,4.72,8.99,4.59,11.69,229.5,249.19,230.31,2026-09-24,299.86,299.86,299.86,299.86,299.86,-16.9,-16.9,-16.9,18.8,18.8,False,False,False,False,False,221.0495,214.2638,207.417417,163.419075,152.61018,63.151571,3.851176,1.93325,1.917926,16.203502,6.654962,4.718077,0.085005,8.987386,0.021514,10.147275,0.002381,13.635621,-0.047246,17.386478,1.06291,48.991175,1.616886,17907635.4,15396613.85,20984309.616667,1.575475,1.155958,254.740005,194.800003,-4.420195,4.420195,280.829987,145.800003,-13.299857,13.299857,299.859985,107.449997,-18.802104,18.802104,299.859985,73.519997,-18.802104,18.802104,-18.802104,231.175206,0.074445,0.116932,0.06738,0.138129,-0.118369,1.237456,1.255698,230.30999755859372,249.19000244140625,229.5,243.48,236.56900024414065,226.38999938964844,0.074445,True,False,False,True,False,True,True,False,False,0.041138,0.289995,False,False,False,True,False,66.67,True,Watch,Uptrend,Uptrend,,False,raw state accepted,False,Deep Pullback,R3 Reversal,"['Reversal', 'Bottoming']",True,15.9,33.33,57.14,0.0,60.0,,0.0,53.99,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,"Reversal, Bottoming",Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,97.5126,10.7527,99.3361,85.7771,91.0698,34.0097,98.6628,,616.05110951,Nasdaq screener API,2026-09-25T08:34:29.191413+08:00,NBIS,61605110950.99999,2026-09-24,2026-09-24,Nasdaq screener API,2026-09-25T08:34:29.191413+08:00,NBIS | Nebius Group N.V. FY2026 Q2 Earnings Preview,2026-08-09,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\nbis-preview-2026-08-09.json,2026-08-09,2026-08-09,,97.5126,0.0,58.51,0.0,,68.4,68.56,66.23,78.07,69.98,TYPE A,TYPE A,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
PLTR,PLTR,Palantir Technologies Inc. - Class A Common Stock,Nasdaq,192.59,22612777,186.019999,179.377999,3.53,7.37,5.19,9.28,188.24,194.68,189.2,2026-09-24,193.79,207.52,207.52,194.68,207.52,0.46,-6.19,-6.19,1.07,7.19,True,False,False,True,True,178.215499,162.822199,146.761208,151.982725,157.43212,61.202675,5.863382,4.818569,1.044814,6.103429,3.169131,3.531879,0.076903,7.365452,0.013132,8.065797,0.082209,18.282397,0.226258,31.226775,-0.11643,26.718349,0.069765,28206695.4,27505718.85,37110121.283333,0.822112,0.609343,194.68,164.550003,-1.073557,1.073557,194.68,117.889999,-1.073557,1.073557,194.68,106.370003,-1.073557,1.073557,207.520004,106.370003,-7.194489,7.194489,-7.194489,81.056684,0.004171,0.092771,0.16116,0.085014,0.650724,0.297252,0.075201,189.1999969482422,194.68,188.24,192.59,193.7899932861328,182.94000244140625,0.004171,False,False,True,True,False,True,False,False,False,0.149068,0.324534,False,False,False,False,False,16.67,False,,Uptrend,Uptrend,,False,raw state accepted,False,Near High,R5 Strong Trend,['Near High'],False,0.0,16.67,71.43,91.41,20.0,,0.0,50.43,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Near High,Not Implemented Yet,,,,,,,,,,,,,True,True,False,False,95.8575,,67.954,66.4578,97.5687,96.3624,82.9531,,4606.89836929,Nasdaq screener API,2026-09-25T08:34:29.191413+08:00,PLTR,460689836929.0,2026-09-24,2026-09-24,Nasdaq screener API,2026-09-25T08:34:29.191413+08:00,PLTR | Palantir FY2026 Q2 Post-Earnings Review,2026-08-04,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\pltr-review-2026-08-04.json,2026-08-04,2026-08-04,,95.8575,0.0,57.51,0.0,,68.0,57.49,60.44,77.34,69.63,TYPE B,TYPE B,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
RKLB,RKLB,Rocket Lab Corporation - Common Stock,Nasdaq,73.61,25020442,70.072,67.093,5.05,9.71,5.32,8.54,68.922,75.46,69.701,2026-09-24,151.0,151.0,151.0,151.0,151.0,-50.03,-50.03,-50.03,51.25,51.25,False,False,False,False,False,65.569,69.3538,86.395583,80.97915,75.63992,67.33898,-0.283695,-1.818132,1.534437,3.791714,5.151086,5.049092,0.092928,9.713383,0.047592,12.263417,-0.121883,6.136938,-0.351605,-14.798885,0.29707,-9.100059,1.155184,24933048.4,19737887.1,19114904.033333,1.267635,1.308949,75.46,60.509998,-2.45163,2.45163,107.599998,58.200001,-31.589218,31.589218,151.0,58.200001,-51.251656,51.251656,151.0,37.57,-51.251656,51.251656,-51.251656,95.927603,0.046935,0.085373,0.188025,0.11227,-0.275849,0.086815,0.578597,69.70069885253906,75.46,68.922,73.61,73.56999969482422,70.08000183105469,0.046935,True,False,False,True,False,True,False,False,False,0.119104,0.282961,False,False,False,True,False,50.0,True,Watch,Mixed / Neutral,Mixed / Neutral,,False,raw state accepted,False,Deep Pullback,R3 Reversal,"['Reversal', 'Bottoming']",True,70.77,16.67,42.86,0.0,40.0,,0.0,50.41,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,"Reversal, Bottoming",Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,95.8294,63.2539,97.4659,66.4578,80.5405,34.0097,95.1188,,441.37787249,Nasdaq screener API,2026-09-25T08:34:29.191413+08:00,RKLB,44137787249.0,2026-09-24,2026-09-24,Nasdaq screener API,2026-09-25T08:34:29.191413+08:00,RKLB | Rocket Lab Corporation FY2026 Q2 Earnings Preview,2026-08-09,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\rklb-preview-2026-08-09.json,2026-08-09,2026-08-09,,95.8294,0.0,57.5,0.0,,68.0,83.84,60.44,74.9,69.62,TYPE A,TYPE A,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
SMCI,SMCI,"Super Micro Computer, Inc. - Common Stock",Nasdaq,41.51,34371470,40.956,39.446,1.35,5.23,0.75,2.87,39.85,42.28,40.435,2026-09-24,51.4,122.9,122.9,51.4,122.9,-17.74,-65.6,-65.6,19.24,66.22,False,False,False,False,False,38.751,34.6604,32.813667,31.75445,34.35604,58.650195,1.581226,1.427699,0.153527,2.380714,5.735278,1.352671,0.079608,5.232471,0.036525,7.119817,0.133087,19.762034,0.036204,26.502169,-0.046126,30.721836,-0.265539,40358094.0,37553978.5,45720736.166667,0.915255,0.75177,42.700001,35.360001,-2.786887,2.786887,42.700001,23.379999,-2.786887,2.786887,51.400002,21.790001,-19.241248,19.241248,58.779999,19.48,-29.38074,29.38074,-29.38074,113.090354,0.001689,0.028748,0.110487,0.11019,0.415274,0.787683,-0.102292,40.435001373291016,42.28,39.84999847412109,41.51,42.70000076293945,40.790000915527344,0.001689,False,False,False,True,False,True,False,False,False,0.240742,0.316872,False,True,True,False,False,16.67,False,,Uptrend,Uptrend,,False,raw state accepted,False,Near High,R5 Strong Trend,['Near High'],False,0.0,16.67,71.43,77.7,20.0,,0.0,48.78,False,,True,False,Missing,Technology,XLK,,,,,,,,,,,,,,,,,,,86.27,Near High,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,94.352,,67.954,66.4578,97.5687,93.8844,82.9531,,272.24645513,Nasdaq screener API,2026-09-25T08:34:29.191413+08:00,SMCI,27224645513.0,2026-09-24,2026-09-24,Nasdaq screener API,2026-09-25T08:34:29.191413+08:00,"SMCI | Super Micro Computer, Inc. FY2026 Q4 Earnings Preview",2026-08-09,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\smci-preview-2026-08-09.json,2026-08-09,2026-08-09,,94.352,0.0,56.61,0.0,,67.64,57.49,60.44,77.34,69.31,TYPE B,TYPE B,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
ANET,ANET,"Arista Networks, Inc. Common Stock",NYSE,205.7,3556081,202.702,198.027999,1.48,3.87,3.16,4.13,198.757,206.54,199.91,2026-09-24,214.89,214.89,214.89,214.89,214.89,-3.89,-3.89,-3.89,4.28,4.28,False,False,False,True,True,196.158,188.8078,171.975667,156.2689,153.22808,66.531712,3.765682,2.841828,0.923854,7.924571,3.85249,1.479019,0.048347,3.8742,0.01925,4.864446,0.032881,8.94677,0.17423,19.609945,0.273586,31.632078,0.389657,6081036.2,4940559.05,6854766.35,0.719773,0.518775,206.54,181.270004,-0.406701,0.406701,214.889999,156.649994,-4.276606,4.276606,214.889999,119.791,-4.276606,4.276606,214.889999,114.519997,-4.276606,4.276606,-4.276606,79.619286,0.01096,0.041308,0.06619,0.077302,0.253504,0.647577,0.442092,199.91000366210935,206.54,198.757,205.7,206.47999572753903,200.75,0.01096,False,False,False,True,False,True,False,False,False,0.148144,0.107928,False,False,False,False,False,16.67,False,,Uptrend,Uptrend,,False,raw state accepted,False,Near High,R5 Strong Trend,['Near High'],False,0.0,16.67,71.43,65.79,20.0,,0.0,47.35,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Near High,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,92.7529,,67.954,66.4578,97.5687,91.2661,82.9531,,2566.21379129,Nasdaq screener API,2026-09-25T08:34:29.191413+08:00,ANET,256621379128.99997,2026-09-24,2026-09-24,Nasdaq screener API,2026-09-25T08:34:29.191413+08:00,"ANET | Arista Networks, Inc. FY2026 Q2 财报复盘",2026-08-05,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\anet-review-2026-08-05.json,2026-08-05,2026-08-05,,92.7529,0.0,55.65,0.0,,67.26,57.49,60.44,77.34,68.98,TYPE B,TYPE B,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
QCOM,QCOM,QUALCOMM Incorporated - Common Stock,Nasdaq,194.26,9058984,192.344001,188.519001,1.0,3.05,0.02,2.94,191.75,196.77,196.58,2026-09-24,259.92,259.92,259.92,259.92,259.92,-24.3,-24.3,-24.3,25.26,25.26,False,False,False,False,False,179.294501,169.6144,180.459584,168.99785,169.13264,69.685806,7.265898,5.236892,2.029006,9.747143,5.017576,0.996131,0.04142,3.045316,0.108479,8.346881,0.118385,14.53037,-0.182085,7.647372,0.142443,14.948208,0.072763,20651396.8,14425394.2,12816154.733333,0.627989,0.706841,199.610001,161.899994,-2.680227,2.680227,199.610001,142.889999,-2.680227,2.680227,259.920013,121.989998,-25.261623,25.261623,259.920013,121.989998,-25.261623,25.261623,-25.261623,59.242564,-0.015109,0.02941,0.098259,0.186538,0.051247,0.532019,0.144861,196.5800018310547,196.7700042724609,191.75,194.26,199.6100006103516,193.22000122070312,-0.015109,False,False,True,True,False,True,False,False,False,0.5,0.037849,False,False,False,False,True,16.67,False,,Uptrend,Uptrend,,False,raw state accepted,False,Near High,R5 Strong Trend,['Near High'],False,9.04,16.67,57.14,78.56,20.0,,0.0,46.4,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Near High,Not Implemented Yet,,,,,,,,,,,,,False,False,True,False,91.5654,,67.954,66.4578,91.0698,94.1275,82.9531,,2071.48138578,Nasdaq screener API,2026-09-25T08:34:29.191413+08:00,QCOM,207148138578.0,2026-09-24,2026-09-24,Nasdaq screener API,2026-09-25T08:34:29.191413+08:00,QCOM | Qualcomm FY2026 Q3 Earnings Preview,2026-07-25,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\qcom-preview-2026-07-25.json,2026-07-25,2026-07-25,,91.5654,0.0,54.94,0.0,,66.98,57.49,60.44,75.71,68.73,TYPE B,TYPE B,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
INTC,INTC,Intel Corporation - Common Stock,Nasdaq,127.39,118581605,120.845999,111.135001,5.42,14.63,4.61,17.09,119.55,127.435,120.01,2026-09-24,142.35,142.35,142.35,142.35,142.35,-10.48,-10.48,-10.48,10.51,10.51,False,False,False,False,False,102.997001,98.532,101.86975,78.78835,70.55584,78.769323,6.825731,3.515019,3.310712,6.923929,5.435222,5.415157,0.191493,14.626355,0.171581,23.683213,0.074503,29.287947,-0.161457,25.051843,1.419709,61.686341,2.010222,135843441.0,105819015.25,109051175.083333,1.120608,1.087394,127.435,85.720001,-0.035312,0.035312,135.740005,81.790001,-6.15147,6.15147,142.350006,49.869999,-10.509312,10.509312,142.350006,32.889999,-10.509312,10.509312,-10.509312,335.81937,0.03907,0.170864,0.269837,0.443676,-0.08766,1.528583,2.747867,120.01000213623048,127.435,119.55,127.39,124.25,119.44000244140624,0.03907,True,False,False,True,False,True,False,False,False,0.058339,0.005707,False,True,True,False,False,16.67,False,,Uptrend,Uptrend,,False,raw state accepted,False,Near High,R5 Strong Trend,['Near High'],False,0.0,16.67,57.14,50.79,40.0,,0.0,45.58,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Near High,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,91.0604,,67.954,66.4578,91.0698,87.0769,95.1188,,6479.49522049,Nasdaq screener API,2026-09-25T08:34:29.191413+08:00,INTC,647949522049.0,2026-09-24,2026-09-24,Nasdaq screener API,2026-09-25T08:34:29.191413+08:00,INTC | Intel FY2026 Q2 Post-Earnings Review,2026-07-24,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\intc-review-2026-07-24.json,2026-07-24,2026-07-24,,91.0604,0.0,54.64,0.0,,66.86,57.49,60.44,77.54,68.62,TYPE B,TYPE B,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
AAPL,AAPL,Apple Inc. - Common Stock,Nasdaq,335.92,24364559,337.560001,335.389998,-0.49,0.16,-0.9,-0.32,334.3,338.91,336.32,2026-09-24,345.34,345.34,345.34,345.34,345.34,-1.86,-1.86,-1.86,2.73,2.73,False,False,False,True,True,328.071499,321.675799,303.645,287.450449,283.079159,58.320757,6.017515,5.207124,0.810391,7.094288,2.111898,-0.48584,0.013024,0.158026,0.045633,2.392314,0.057395,4.428123,0.070367,10.629189,0.14684,16.86188,0.259919,43664511.8,42997737.95,47481897.65,0.566647,0.513134,345.339996,309.399994,-2.727746,2.727746,345.339996,289.200012,-2.727746,2.727746,345.339996,245.699997,-2.727746,2.727746,345.339996,243.419998,-2.727746,2.727746,-2.727746,38.000165,-0.003264,-0.003205,0.028631,0.071686,0.160907,0.312598,0.307743,336.32000732421875,338.9100036621094,334.29998779296875,335.92,341.79998779296875,335.5,-0.003264,False,False,False,True,False,False,False,False,False,0.351411,0.561819,False,False,False,False,True,0.0,False,,Uptrend,Uptrend,,False,raw state accepted,False,Near High,R5 Strong Trend,['Near High'],False,0.0,0.0,57.14,78.18,20.0,,0.0,42.27,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Near High,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,86.7309,,27.5108,27.6604,91.0698,94.0153,82.9531,,49185.305436,Nasdaq screener API,2026-09-25T08:34:29.191413+08:00,AAPL,4918530543600.0,2026-09-24,2026-09-24,Nasdaq screener API,2026-09-25T08:34:29.191413+08:00,AAPL | Apple Inc. FY2026 Q3 Post-Earnings Review,2026-07-31,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\aapl-review-2026-07-31.json,2026-07-31,2026-07-31,,86.7309,0.0,52.04,0.0,,65.82,47.38,48.8,75.71,67.71,TYPE B,TYPE B,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
KLAC,KLAC,KLA Corporation  - Common Stock,Nasdaq,187.11,7779973,180.982001,176.72,3.39,5.88,5.72,11.8,182.4,187.96,185.33,2026-09-24,307.37,307.37,307.37,307.37,307.37,-38.85,-38.85,-38.85,39.13,39.13,False,False,False,False,False,177.9685,190.241,197.951742,175.27456,163.055452,61.163737,-2.824948,-5.167325,2.342377,7.909288,4.227079,3.385972,0.049427,5.879357,-0.013933,5.136583,-0.071339,-1.645807,-0.114426,-5.476962,0.492345,6.752514,0.958131,11249374.6,9458113.65,11299316.216667,0.822571,0.688535,190.869995,165.889999,-1.969925,1.969925,307.369995,165.889999,-39.125483,39.125483,307.369995,145.100006,-39.125483,39.125483,307.369995,98.097,-39.125483,39.125483,-39.125483,90.739778,-0.003992,0.118009,0.022962,0.020563,-0.327885,0.231116,0.750868,185.3300018310547,187.9600067138672,182.3999938964844,187.11,188.0,181.72999572753903,-0.003992,False,False,True,True,False,True,False,False,False,0.526979,0.152879,True,False,False,False,True,33.33,False,Watch,Mixed / Neutral,Mixed / Neutral,,False,raw state accepted,False,Deep Pullback,RN Neutral / Consolidation,['Bottoming'],True,100.0,16.67,28.57,0.0,0.0,,0.0,40.14,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Bottoming,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,82.8315,88.7681,88.5169,66.4578,64.1855,34.0097,36.7402,,2451.58519587,Nasdaq screener API,2026-09-25T08:34:29.191413+08:00,KLAC,245158519587.0,2026-09-24,2026-09-24,Nasdaq screener API,2026-09-25T08:34:29.191413+08:00,KLAC | KLA Corporation FY2026 Q4 Earnings Preview,2026-07-25,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\klac-preview-2026-07-25.json,2026-07-25,2026-07-25,,82.8315,0.0,49.7,0.0,,64.88,89.26,60.44,62.06,66.9,TYPE A,TYPE A,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
